date,condition,quantity,price
1/31/25,"NM Holofoil
Near Mint Holofoil",1,10.0
1/31/25,"NM Holofoil
Near Mint Holofoil",1,9.76
1/31/25,"NM Holofoil
Near Mint Holofoil",1,8.5
1/28/25,"NM Holofoil
Near Mint Holofoil",1,8.82
1/26/25,"NM Holofoil
Near Mint Holofoil",1,9.66
1/26/25,"NM Holofoil
Near Mint Holofoil",1,8.75
1/25/25,"NM Holofoil
Near Mint Holofoil",1,6.76
1/23/25,"NM Holofoil
Near Mint Holofoil",1,9.34
1/20/25,"NM Holofoil
Near Mint Holofoil",4,8.74
1/20/25,"NM Holofoil
Near Mint Holofoil",1,8.0
1/19/25,"NM Holofoil
Near Mint Holofoil",1,11.21
